mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9,delta10,delta11,delta12,delta13,delta_delta1,delta_delta2,delta_delta3,delta_delta4,delta_delta5,delta_delta6,delta_delta7,delta_delta8,delta_delta9,delta_delta10,delta_delta11,delta_delta12,delta_delta13,username
-488.546326,101.333015,0.402654,36.722301,10.382882,0.949443,-8.108952,1.214253,2.826506,-2.182016,-0.776699,-1.094389,5.212108,0.007218,0.007218,0.007218,0.007218,0.007218,0.007218,0.007218,0.007218,0.007218,0.007218,0.007218,0.007218,0.007218,-0.006924,-0.006924,-0.006924,-0.006924,-0.006924,-0.006924,-0.006924,-0.006924,-0.006924,-0.006924,-0.006924,-0.006924,-0.006924,Tim31
-562.618103,97.652061,25.101786,50.187981,13.235043,4.451712,-2.935772,-7.116627,-3.561405,0.356284,-2.547353,-3.252748,0.403135,0.001263,0.001263,0.001263,0.001263,0.001263,0.001263,0.001263,0.001263,0.001263,0.001263,0.001263,0.001263,0.001263,-0.000358,-0.000358,-0.000358,-0.000358,-0.000358,-0.000358,-0.000358,-0.000358,-0.000358,-0.000358,-0.000358,-0.000358,-0.000358,Tim31
-516.834534,99.389511,13.276068,45.444061,11.776796,-1.101529,-4.015083,-8.7465,-5.622064,-1.669399,-1.534128,-7.875352,-0.964004,-0.001418,-0.001418,-0.001418,-0.001418,-0.001418,-0.001418,-0.001418,-0.001418,-0.001418,-0.001418,-0.001418,-0.001418,-0.001418,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,Tim31
-500.577789,116.580887,-4.249334,31.994631,6.671598,0.565087,-10.963995,-0.186765,3.011487,0.190041,5.213793,0.581084,-0.83119,-0.002533,-0.002533,-0.002533,-0.002533,-0.002533,-0.002533,-0.002533,-0.002533,-0.002533,-0.002533,-0.002533,-0.002533,-0.002533,-0.000805,-0.000805,-0.000805,-0.000805,-0.000805,-0.000805,-0.000805,-0.000805,-0.000805,-0.000805,-0.000805,-0.000805,-0.000805,Tim31
-561.951782,104.718857,21.607645,45.49464,11.963255,5.34066,-0.294526,-7.461117,-1.612171,-0.418338,-3.063574,-1.666345,-3.642893,0.002668,0.002668,0.002668,0.002668,0.002668,0.002668,0.002668,0.002668,0.002668,0.002668,0.002668,0.002668,0.002668,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,Tim31
-502.881805,109.747986,1.968544,32.884968,7.598501,2.970719,-7.89176,-3.821723,1.554086,0.986541,1.025903,-0.840748,2.163141,-0.000359,-0.000359,-0.000359,-0.000359,-0.000359,-0.000359,-0.000359,-0.000359,-0.000359,-0.000359,-0.000359,-0.000359,-0.000359,-0.000503,-0.000503,-0.000503,-0.000503,-0.000503,-0.000503,-0.000503,-0.000503,-0.000503,-0.000503,-0.000503,-0.000503,-0.000503,Tim31
-503.94397,107.922882,16.497654,46.015553,6.737374,-0.75861,-2.815308,-8.4971,-5.682919,-4.952501,-2.530185,-7.699016,-4.964614,0.002466,0.002466,0.002466,0.002466,0.002466,0.002466,0.002466,0.002466,0.002466,0.002466,0.002466,0.002466,0.002466,0.00233,0.00233,0.00233,0.00233,0.00233,0.00233,0.00233,0.00233,0.00233,0.00233,0.00233,0.00233,0.00233,Tim31
-512.24292,84.047943,21.093082,48.091301,14.98874,2.950801,-10.74859,-7.13245,5.366535,-2.152395,-2.519563,0.967069,-4.170946,0.001273,0.001273,0.001273,0.001273,0.001273,0.001273,0.001273,0.001273,0.001273,0.001273,0.001273,0.001273,0.001273,-0.000528,-0.000528,-0.000528,-0.000528,-0.000528,-0.000528,-0.000528,-0.000528,-0.000528,-0.000528,-0.000528,-0.000528,-0.000528,Tim31
-529.484497,101.943764,21.716618,56.078434,14.388726,-2.352317,-5.42201,-5.384974,-7.185342,-4.299995,-5.173311,-5.465445,-5.698532,0.01275,0.01275,0.01275,0.01275,0.01275,0.01275,0.01275,0.01275,0.01275,0.01275,0.01275,0.01275,0.01275,0.004034,0.004034,0.004034,0.004034,0.004034,0.004034,0.004034,0.004034,0.004034,0.004034,0.004034,0.004034,0.004034,Tim31
-527.247131,110.71241,-3.739954,34.785835,6.143091,4.99828,-9.001348,1.271527,3.56396,2.018598,1.155984,1.014476,1.873467,-0.000296,-0.000296,-0.000296,-0.000296,-0.000296,-0.000296,-0.000296,-0.000296,-0.000296,-0.000296,-0.000296,-0.000296,-0.000296,-0.000722,-0.000722,-0.000722,-0.000722,-0.000722,-0.000722,-0.000722,-0.000722,-0.000722,-0.000722,-0.000722,-0.000722,-0.000722,Tim31
-535.878784,88.200218,16.695276,46.036343,14.175022,5.846452,-3.733526,-7.777116,-1.995968,-2.27211,-1.068659,-5.603163,-1.985715,0.002276,0.002276,0.002276,0.002276,0.002276,0.002276,0.002276,0.002276,0.002276,0.002276,0.002276,0.002276,0.002276,-0.000916,-0.000916,-0.000916,-0.000916,-0.000916,-0.000916,-0.000916,-0.000916,-0.000916,-0.000916,-0.000916,-0.000916,-0.000916,Tim31
-519.242371,85.410278,-6.909033,31.967075,7.922097,5.002481,-8.135513,1.617406,5.18431,2.126245,5.278887,2.00908,3.073579,-0.004571,-0.004571,-0.004571,-0.004571,-0.004571,-0.004571,-0.004571,-0.004571,-0.004571,-0.004571,-0.004571,-0.004571,-0.004571,0.000372,0.000372,0.000372,0.000372,0.000372,0.000372,0.000372,0.000372,0.000372,0.000372,0.000372,0.000372,0.000372,Tim31
-531.961365,113.674706,15.922096,29.864548,3.49961,5.736852,-2.140366,-6.883441,-4.251709,0.179258,-1.430685,-0.571733,-4.882555,-0.001598,-0.001598,-0.001598,-0.001598,-0.001598,-0.001598,-0.001598,-0.001598,-0.001598,-0.001598,-0.001598,-0.001598,-0.001598,0.006768,0.006768,0.006768,0.006768,0.006768,0.006768,0.006768,0.006768,0.006768,0.006768,0.006768,0.006768,0.006768,Tim31
-527.291138,88.0261,26.571054,50.586475,17.316334,1.633008,-11.604612,-4.829948,3.907904,-0.719762,-1.431987,0.674974,-2.665827,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,0.000336,-0.003764,-0.003764,-0.003764,-0.003764,-0.003764,-0.003764,-0.003764,-0.003764,-0.003764,-0.003764,-0.003764,-0.003764,-0.003764,Tim31
-618.294495,87.125099,36.03793,59.457909,20.046238,7.429025,-1.881345,1.074122,1.804841,-3.426075,-0.446222,-1.418793,-5.326602,0.003437,0.003437,0.003437,0.003437,0.003437,0.003437,0.003437,0.003437,0.003437,0.003437,0.003437,0.003437,0.003437,0.000663,0.000663,0.000663,0.000663,0.000663,0.000663,0.000663,0.000663,0.000663,0.000663,0.000663,0.000663,0.000663,Tim31
-554.115723,110.218506,4.378591,33.625313,3.669121,9.611472,-3.497967,-0.593497,3.231509,2.928464,3.747253,-0.102019,3.126879,-0.002457,-0.002457,-0.002457,-0.002457,-0.002457,-0.002457,-0.002457,-0.002457,-0.002457,-0.002457,-0.002457,-0.002457,-0.002457,-0.002555,-0.002555,-0.002555,-0.002555,-0.002555,-0.002555,-0.002555,-0.002555,-0.002555,-0.002555,-0.002555,-0.002555,-0.002555,Tim31
-514.430603,95.503464,10.465349,39.489826,8.911371,3.653064,-5.719234,-7.545585,-0.961998,-3.199067,-0.598115,-6.44849,-1.354431,-0.001815,-0.001815,-0.001815,-0.001815,-0.001815,-0.001815,-0.001815,-0.001815,-0.001815,-0.001815,-0.001815,-0.001815,-0.001815,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,Tim31
